bank,corpus,qc_status,file_count,eligible_count,analysis_ready_count,child_utterance_count,child_token_count
CHILDES,Ambrose,eligible_short_sample,37,37,0,1018,920
CHILDES,Ambrose,excluded,5,0,0,360,720
CHILDES,Ambrose,pass,154,154,154,28160,41201
CHILDES,ENNI,pass,361,361,361,32468,243917
CHILDES,EisenbergGuo,pass,34,34,34,3713,22497
CHILDES,EllisWeismer,eligible_short_sample,19,19,0,611,1917
CHILDES,EllisWeismer,excluded,1,0,0,0,0
CHILDES,EllisWeismer,pass,554,554,554,72172,266830
CHILDES,Gillam,eligible_short_sample,546,546,0,17471,151622
CHILDES,Gillam,pass,122,122,122,8235,74101
CHILDES,NewEngland,eligible_short_sample,29,29,0,486,1804
CHILDES,NewEngland,excluded,99,0,0,757,712
CHILDES,NewEngland,pass,162,162,162,40232,91527
CHILDES,Nicholas,eligible_short_sample,37,37,0,1018,920
CHILDES,Nicholas,excluded,5,0,0,360,720
CHILDES,Nicholas,pass,154,154,154,28160,41201
CHILDES,Rescorla,eligible_short_sample,4,4,0,158,1198
CHILDES,Rescorla,excluded,4,0,0,159,659
CHILDES,Rescorla,pass,229,229,229,50772,221176
project_data,Eigsti,pass,48,48,48,7813,28597
project_data,Flusberg,pass,64,64,64,23019,50286
project_data,NYU-Emerson,eligible_short_sample,3,3,0,117,28
project_data,NYU-Emerson,excluded,1,0,0,157,195
project_data,NYU-Emerson,pass,26,26,26,4838,8303
project_data,Nadig,eligible_short_sample,6,6,0,147,271
project_data,Nadig,pass,32,32,32,2933,7635
project_data,QuigleyMcNally,eligible_short_sample,2,2,0,6,9
project_data,QuigleyMcNally,excluded,201,0,0,0,0
project_data,Rollins,pass,21,21,21,4170,4531
