threshold,model_net_benefit,treat_all_net_benefit,treat_none_net_benefit
0.05,0.5086,0.5082,0.0
0.1,0.4891,0.4809,0.0
0.15,0.4653,0.4503,0.0
0.2,0.4508,0.416,0.0
0.25,0.4508,0.377,0.0
0.3,0.4379,0.3326,0.0
0.35,0.4187,0.2812,0.0
0.4,0.4153,0.2213,0.0
0.45,0.4039,0.1505,0.0
0.5,0.4016,0.0656,0.0
0.55,0.4107,-0.0383,0.0
0.6,0.3893,-0.168,0.0
0.65,0.3876,-0.3349,0.0
0.7,0.3798,-0.5574,0.0
0.75,0.3607,-0.8689,0.0
0.8,0.3361,-1.3361,0.0
0.85,0.306,-2.1148,0.0
0.9,0.2377,-3.6721,0.0
0.95,0.2705,-8.3443,0.0
